ID,Character Name,Context,Sprite name,Sound Name,Commen
1,K,이런 승자가 정해졌군요.,None,,<=최민우 승리
2,,김윤은 생각이 많아 보이는 눈으로\n테이블을 응시하고 있었다.,,,
,,하지만 이내 포기한듯 고개를 들고 눈을 감았다.,,,
3,김윤,당신은... 꼭 마지막까지 살아남으세요.,KY,,
4,,김윤의 목에 있는 것이 반짝거리기 시작했다.,None,Beep,
5,김윤,여기 보지마세요. 그냥...\n문만 보고 있으세요.,KY,,
,,문 열리면 그냥 나가고 죄책감 갖지마세요.,,,
6,,김윤이 떨리는 목소리로 말했고\n나는 떨리는 다리를 이끌어 문 앞에 섰다.,None,,
,,뒤쪽에서는 비명을 참는듯한 소리가 들렸고`\n 잠시 뒤 조용해졌다.,,,
,,나는 뒤를 보지않고 문 밖으로 나아갔다.,,,
7,K,이런 승자가 정해졌군요.,None,,<=김윤 승리
8,,내가... 졌다...,CMW3,,
9,,멍하니 테이블만 바로보고 있으니\n 목에 있는 것이 빛나기 시작했다.,BedEnding1,Beep,
10,,목이 타는 듯한 느낌이 들며`\n나는 그저 눈을 질끈 감았다.,,,
,,김윤이 무언가를 말하려는 거 같았지만\n방에는 삑삑거리는 소리만 울려퍼졌다.,,,
11,최민우,아...윽....,,,
12,,점점 정신이 흐려지며 몸이 바닥과 충돌했다.,,,
